"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2010","1,474.90","1,474.90","1,474.90","1,474.90","-","-0.01%"
"Jan 03, 2010","1,477.40","1,471.50","1,477.40","1,471.50","-","0.17%"
"Jan 04, 2010","1,528.45","1,477.20","1,533.70","1,475.80","-","3.46%"
"Jan 05, 2010","1,536.30","1,525.60","1,545.40","1,520.25","-","0.51%"
"Jan 06, 2010","1,563.30","1,536.50","1,569.40","1,525.05","-","1.76%"
"Jan 07, 2010","1,555.10","1,563.30","1,569.30","1,543.70","-","-0.52%"
"Jan 08, 2010","1,581.20","1,554.45","1,583.00","1,539.20","-","1.68%"
"Jan 10, 2010","1,585.55","1,575.60","1,586.50","1,575.60","-","0.28%"
"Jan 11, 2010","1,590.35","1,585.50","1,596.25","1,567.25","-","0.30%"
"Jan 12, 2010","1,574.55","1,589.35","1,627.55","1,550.10","-","-0.99%"
"Jan 13, 2010","1,580.95","1,574.80","1,593.35","1,555.30","-","0.41%"
"Jan 14, 2010","1,612.65","1,581.00","1,614.75","1,576.45","-","2.01%"
"Jan 15, 2010","1,599.85","1,612.70","1,621.60","1,592.65","-","-0.79%"
"Jan 17, 2010","1,601.05","1,599.50","1,602.45","1,594.50","-","0.08%"
"Jan 18, 2010","1,622.75","1,601.80","1,626.80","1,600.25","-","1.36%"
"Jan 19, 2010","1,641.85","1,622.80","1,647.00","1,617.60","-","1.18%"
"Jan 20, 2010","1,608.20","1,643.10","1,653.70","1,586.00","-","-2.05%"
"Jan 21, 2010","1,588.40","1,600.05","1,622.85","1,586.50","-","-1.23%"
"Jan 22, 2010","1,548.00","1,587.75","1,594.25","1,521.55","-","-2.54%"
"Jan 24, 2010","1,537.50","1,549.45","1,553.10","1,533.05","-","-0.68%"
"Jan 25, 2010","1,553.20","1,537.25","1,564.30","1,532.00","-","1.02%"
"Jan 26, 2010","1,529.85","1,553.25","1,562.65","1,502.15","-","-1.50%"
"Jan 27, 2010","1,519.00","1,529.55","1,534.50","1,484.10","-","-0.71%"
"Jan 28, 2010","1,507.60","1,514.95","1,526.35","1,486.40","-","-0.75%"
"Jan 29, 2010","1,502.65","1,509.40","1,524.05","1,495.25","-","-0.33%"
"Jan 31, 2010","1,502.00","1,502.10","1,506.25","1,499.50","-","-0.04%"
"Feb 01, 2010","1,548.70","1,505.00","1,551.40","1,505.00","-","3.11%"
"Feb 02, 2010","1,578.45","1,547.75","1,584.10","1,534.75","-","1.92%"
"Feb 03, 2010","1,573.65","1,579.05","1,593.95","1,567.95","-","-0.30%"
"Feb 04, 2010","1,509.30","1,572.10","1,573.00","1,504.80","-","-4.09%"
"Feb 05, 2010","1,483.25","1,478.20","1,493.70","1,451.40","-","-1.73%"
"Feb 07, 2010","1,483.70","1,475.50","1,483.70","1,475.50","-","0.03%"
"Feb 08, 2010","1,476.40","1,486.85","1,493.05","1,470.25","-","-0.49%"
"Feb 09, 2010","1,504.65","1,477.95","1,513.10","1,472.65","-","1.91%"
"Feb 10, 2010","1,509.30","1,504.55","1,534.15","1,493.90","-","0.31%"
"Feb 11, 2010","1,528.90","1,509.05","1,532.50","1,496.80","-","1.30%"
"Feb 12, 2010","1,514.70","1,529.30","1,529.95","1,489.55","-","-0.93%"
"Feb 14, 2010","1,514.00","1,517.10","1,519.95","1,512.50","-","-0.05%"
"Feb 15, 2010","1,512.30","1,515.85","1,523.55","1,509.25","-","-0.11%"
"Feb 16, 2010","1,538.65","1,514.15","1,542.90","1,512.70","-","1.74%"
"Feb 17, 2010","1,530.00","1,537.35","1,555.20","1,526.80","-","-0.56%"
"Feb 18, 2010","1,503.55","1,528.85","1,535.15","1,503.55","-","-1.73%"
"Feb 19, 2010","1,532.55","1,503.60","1,545.60","1,500.75","-","1.93%"
"Feb 21, 2010","1,544.70","1,537.70","1,545.75","1,537.70","-","0.79%"
"Feb 22, 2010","1,531.55","1,544.75","1,548.85","1,520.10","-","-0.85%"
"Feb 23, 2010","1,519.10","1,532.95","1,547.60","1,506.55","-","-0.81%"
"Feb 24, 2010","1,519.25","1,519.50","1,524.10","1,497.80","-","0.01%"
"Feb 25, 2010","1,527.70","1,519.10","1,537.05","1,504.25","-","0.56%"
"Feb 26, 2010","1,541.50","1,527.75","1,544.30","1,524.75","-","0.90%"
"Feb 28, 2010","1,544.95","1,543.00","1,546.60","1,541.65","-","0.22%"
"Mar 01, 2010","1,549.25","1,545.80","1,565.60","1,541.80","-","0.28%"
"Mar 02, 2010","1,571.30","1,548.15","1,578.75","1,545.70","-","1.42%"
"Mar 03, 2010","1,582.80","1,574.80","1,588.75","1,573.00","-","0.73%"
"Mar 04, 2010","1,577.15","1,582.70","1,588.30","1,566.70","-","-0.36%"
"Mar 05, 2010","1,577.35","1,577.15","1,587.45","1,568.25","-","0.01%"
"Mar 07, 2010","1,572.65","1,576.45","1,582.35","1,572.65","-","-0.30%"
"Mar 08, 2010","1,595.55","1,574.15","1,611.50","1,573.65","-","1.46%"
"Mar 09, 2010","1,593.25","1,594.10","1,599.85","1,571.05","-","-0.14%"
"Mar 10, 2010","1,592.95","1,593.20","1,618.25","1,580.10","-","-0.02%"
"Mar 11, 2010","1,607.80","1,593.05","1,615.25","1,577.75","-","0.93%"
"Mar 12, 2010","1,608.60","1,608.85","1,627.60","1,601.15","-","0.05%"
"Mar 14, 2010","1,609.55","1,610.50","1,612.00","1,605.50","-","0.06%"
"Mar 15, 2010","1,621.90","1,609.60","1,625.45","1,604.05","-","0.77%"
